user_id,show_id,created_at,rating
a1349bb3-7390-42d5-83b3-4f2a3b1c0e97,66788,1566846668,1
1fb52475-c403-473d-aaf7-191353821f1d,63201,1566846703,1
1fb52475-c403-473d-aaf7-191353821f1d,66788,1566846714,0
42f176d3-2a05-460b-b995-f8d47933dd13,66732,1566846733,0
42f176d3-2a05-460b-b995-f8d47933dd13,48866,1566846735,0
a1349bb3-7390-42d5-83b3-4f2a3b1c0e97,54650,1566846740,0
a1349bb3-7390-42d5-83b3-4f2a3b1c0e97,60574,1566846742,1
a1349bb3-7390-42d5-83b3-4f2a3b1c0e97,1412,1566846756,1
a1349bb3-7390-42d5-83b3-4f2a3b1c0e97,87108,1566846759,0
a1349bb3-7390-42d5-83b3-4f2a3b1c0e97,67744,1566846762,0
e501b49c-d366-4af6-be50-ecd240ffa8ce,1054,1566846820,0
e3a13a32-9836-4fe5-abbd-5f67a1a8ae98,66788,1566847238,0
e3a13a32-9836-4fe5-abbd-5f67a1a8ae98,60574,1566847242,1
e3a13a32-9836-4fe5-abbd-5f67a1a8ae98,54650,1566847244,1
e3a13a32-9836-4fe5-abbd-5f67a1a8ae98,62704,1566847251,1
940896d6-c8de-40cc-97a4-acf4df0537e3,82856,1566847252,0
e3a13a32-9836-4fe5-abbd-5f67a1a8ae98,1054,1566847256,0
940896d6-c8de-40cc-97a4-acf4df0537e3,66788,1566847262,0
c5d83985-6060-4fd5-8079-7acea3cdc67a,54650,1566847337,0
c5d83985-6060-4fd5-8079-7acea3cdc67a,62704,1566847337,0
c5d83985-6060-4fd5-8079-7acea3cdc67a,1054,1566847341,0
19a7734d-ca6d-4b01-bfd1-3640fee4a2b6,62704,1566847555,0
ed5dd272-a88f-43cd-9750-e289f170456f,61463,1566848291,0
ed5dd272-a88f-43cd-9750-e289f170456f,8590,1566848294,1
130106e0-30be-45a0-8a86-6ad786566abc,62286,1566848393,1
130106e0-30be-45a0-8a86-6ad786566abc,8590,1566848398,1
130106e0-30be-45a0-8a86-6ad786566abc,71446,1566848399,0
130106e0-30be-45a0-8a86-6ad786566abc,54650,1566848403,0
fb2674ca-73d7-492a-955e-f0c3ecd3bc02,60574,1566848459,0
